time,frequency,midi
5.362499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.387500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.412499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.437500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.462500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.487499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.512500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.537499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.562500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.587500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.612499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.637500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.662499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.687500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.712500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.737499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.762500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.787499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.812500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.837500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.862499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.887500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.912499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.937500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.962500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.987499999999999822e+00,1.729729729729729684e+02,5.300000000000000000e+01
6.012500000000000178e+00,1.729729729729729684e+02,5.300000000000000000e+01
6.037499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
6.062500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
6.087500000000000355e+00,1.720430107526881613e+02,5.300000000000000000e+01
6.112499999999999822e+00,1.649484536082474335e+02,5.200000000000000000e+01
6.137500000000000178e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.162499999999999645e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.187500000000000000e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.212500000000000355e+00,1.632653061224489761e+02,5.200000000000000000e+01
6.237499999999999822e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.262500000000000178e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.287499999999999645e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.312500000000000000e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.337500000000000355e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.362499999999999822e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.387500000000000178e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.412499999999999645e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.437500000000000000e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.462500000000000355e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.487499999999999822e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.512500000000000178e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.537499999999999645e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.562500000000000000e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.587500000000000355e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.612499999999999822e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.637500000000000178e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.662499999999999645e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.687500000000000000e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.712500000000000355e+00,1.641025641025641164e+02,5.200000000000000000e+01
6.737499999999999822e+00,1.666666666666666572e+02,5.200000000000000000e+01
6.762500000000000178e+00,1.849710982658959608e+02,5.400000000000000000e+01
6.787499999999999645e+00,1.839080459770114828e+02,5.400000000000000000e+01
6.812500000000000000e+00,1.839080459770114828e+02,5.400000000000000000e+01
6.837500000000000355e+00,1.839080459770114828e+02,5.400000000000000000e+01
6.862499999999999822e+00,1.839080459770114828e+02,5.400000000000000000e+01
6.887500000000000178e+00,1.839080459770114828e+02,5.400000000000000000e+01
6.912499999999999645e+00,1.839080459770114828e+02,5.400000000000000000e+01
6.937500000000000000e+00,1.839080459770114828e+02,5.400000000000000000e+01
6.962500000000000355e+00,1.849710982658959608e+02,5.400000000000000000e+01
6.987499999999999822e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.012500000000000178e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.037499999999999645e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.062500000000000000e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.087500000000000355e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.112499999999999822e+00,1.849710982658959608e+02,5.400000000000000000e+01
